id_solicitud,fecha_solicitud,departamento,zona,tipo_beneficio,canal,nivel_educativo_tutor,num_personas_hogar,ingreso_hogar,puntaje_focalizacion,estado_solicitud,gestor_asignado,tiempo_ciclo_dias,fecha_decision,fecha_entrega,costo_atencion,costo_beneficio,permanencia_escolar,transito_educacion_superior,ingreso_hogar_posterior,satisfaccion_servicio
SOL-00001,2025-12-04,BolÃ­var,Rural,Plan_movil,Presencial,Secundaria,5,1166000,51.8,Aprobada,Gestor_05,12,2025-12-16,2025-12-21,36900,255600.0,0.0,0.0,1279000.0,5.0
SOL-00002,2025-05-23,Norte de Santander,Rural,Biblioteca_digital,Presencial,Secundaria,5,1076000,71.5,Aprobada,Gestor_14,12,2025-06-04,2025-06-04,26900,49800.0,0.0,0.0,,2.0
SOL-00003,2026-04-09,Sucre,Urbano,Computador,Presencial,Tecnico,3,1309000,42.3,Rechazada,Gestor_04,14,2026-04-23,,27900,,0.0,0.0,1428000.0,
SOL-00004,2025-10-14,Cesar,Rural,Internet,Digital,Secundaria,6,1180000,54.3,Aprobada,Gestor_05,7,2025-10-21,2025-10-22,9600,346600.0,1.0,0.0,1254000.0,3.0
SOL-00005,2025-07-24,Atlántico,Urbano,Computador,Presencial,Tecnico,2,1544000,40.2,Aprobada,Gestor_04,21,2025-08-14,2025-08-19,23900,972700.0,1.0,,1636000.0,3.0
SOL-00006,2026-01-11,Atlántico,Urbano,Biblioteca_digital,Digital,Primaria,2,698000,81.4,Aprobada,Gestor_12,6,2026-01-17,2026-01-18,17200,52400.0,1.0,1.0,,4.0
SOL-00007,2026-04-24,Atlántico,Rural,Internet,Presencial,Tecnico,6,1480000,49.6,Rechazada,Gestor_05,10,2026-05-04,,35500,,0.0,,1475000.0,
SOL-00008,2025-02-17,Córdoba,Urbano,Computador,Presencial,Tecnico,7,1314000,41.0,Aprobada,Gestor_07,12,2025-03-01,2025-03-12,33800,941800.0,0.0,0.0,1388000.0,5.0
SOL-00009,2025-10-18,Cesar,Rural,Internet,Presencial,Primaria,3,793000,75.3,Aprobada,Gestor_11,19,2025-11-06,2025-11-09,46500,439800.0,0.0,1.0,882000.0,3.0
SOL-00010,2025-06-30,La Guajira,Rural,Beca,Digital,Secundaria,3,1182000,62.2,Aprobada,Gestor_08,3,2025-07-03,2025-07-11,16200,2520600.0,1.0,0.0,,4.0
SOL-00011,2025-05-04,Atlántico,Urbano,Biblioteca_digital,Digital,Primaria,3,832000,69.4,Aprobada,Gestor_02,1,2025-05-05,2025-05-07,5000,48000.0,1.0,0.0,1005000.0,4.0
SOL-00012,2026-06-03,Norte de Santander,Rural,Computador,Presencial,Tecnico,2,1452000,32.7,Rechazada,Gestor_04,12,2026-06-15,,32400,,1.0,1.0,1372000.0,
SOL-00013,2026-01-22,C�rdoba,Urbano,Internet,Digital,Secundaria,5,1099000,64.1,Aprobada,Gestor_08,9,2026-01-31,2026-02-02,25100,335700.0,,0.0,1216000.0,5.0
SOL-00014,2025-02-13,ATLÁNTICO,Urbano,Computador,Presencial,Secundaria,8,809000,54.8,Rechazada,Gestor_07,10,2025-02-23,,23400,,0.0,0.0,850000.0,
SOL-00015,2026-05-24,Atlántico,Urbano,Internet,Digital,Primaria,7,892000,78.5,Rechazada,Gestor_09,5,2026-05-29,,20700,,1.0,0.0,737000.0,
SOL-00016,2025-07-20,Atlántico,Rural,Biblioteca_digital,Presencial,Primaria,3,618000,77.6,Aprobada,Gestor_05,17,2025-08-06,2025-08-07,35200,45600.0,0.0,0.0,698000.0,5.0
SOL-00017,2025-12-26,Bolívar,Urbano,Biblioteca_digital,Presencial,Primaria,2,643000,75.4,Aprobada,Gestor_06,12,2026-01-07,2026-01-09,37600,57700.0,0.0,0.0,,5.0
SOL-00018,2025-09-01,Cesar,Urbano,Computador,Digital,Secundaria,2,1165000,56.6,Rechazada,Gestor_15,11,2025-09-12,,11700,,0.0,0.0,1189000.0,
SOL-00019,2026-01-24,Magdalena,Urbano,Plan_movil,Digital,Secundaria,5,1201000,54.9,Rechazada,Gestor_11,5,2026-01-29,,9900,,1.0,0.0,1282000.0,
